,High,ISIN,Last,Last Date/Time,Low,Market,Name,Open,Symbol,Ticker,Time Zone,Trading Currency,Turnover,Volume,City,sector,industry,ebitdaMargins,profitMargins,revenueGrowth,operatingMargins,returnOnAssets,recommendationKey,recommendationMean,debtToEquity,totalCashPerShare,quickRatio,exchange,beta,enterpriseToEbitda,enterpriseToRevenue,bookValue,earningsQuarterlyGrowth,forwardPE,mostRecentQuarter,logo_url
15,1.08,FR0012616852,1.064,13/08/2021 17:35,1.05,Euronext,ABIONYX PHARMA,1.08,ABNX,ABNX.PA,CET,EUR,29857.974,28002,Paris,Healthcare,Biotechnology,0.0,0.0,,-151.33333,,none,,,,,PAR,0.112884,,832.15,0.308,,,2021-06-30,https://logo.clearbit.com/abionyx.com
16,27.2,FR0012333284,26.75,13/08/2021 17:35,26.25,Euronext,ABIVAX,26.5,ABVX,ABVX.PA,CET,EUR,289081.05,10807,Paris,Healthcare,Biotechnology,0.0,0.0,,-1801.6819,-0.40273,none,,189.844,2.048,1.286,PAR,1.140852,-10.134,18227.135,1.251,,-21.4966,2020-12-31,https://logo.clearbit.com/abivax.com
17,11.836,NL0011540547,11.762,13/08/2021 17:36,11.486,Euronext,ABN AMRO BANK N.V.,11.542,ABN,ABN.AS,CET,EUR,41116974.46,3505298,Amsterdam,Financial Services,Banks—Diversified,0.0,0.0954,0.415,0.22469999,0.00166,none,,,107.509,,AMS,1.560433,,0.795,22.514,,4.5901237,2021-06-30,https://logo.clearbit.com/abnamro.nl
18,6.25,BE0974278104,6.15,13/08/2021 16:56,6.15,Euronext,ABO GROUP,6.25,ABO,ABO.BR,CET,EUR,26682.75,4335,Brussels,Industrials,Waste Management,0.103760004,0.04322,0.043,0.05524,0.03197,none,,118.299,1.421,1.076,BRU,0.50057,14.504,1.505,1.671,-0.032,,2020-12-31,https://logo.clearbit.com/abo-group.eu
19,6.25,BE0974278104,6.15,13/08/2021 16:56,6.15,Euronext,ABO GROUP,6.25,ABO,ABO.PA,CET,EUR,26682.75,4335,Paris,nan,nan,,,,,,nan,,,,,nan,,,,,,,No info,
20,2.29,GB00BYWF9Y76,2.23,13/08/2021 17:35,2.215,Euronext,ACACIA PHARMA,2.22,ACPH,ACPH.BR,CET,EUR,115647.135,51566,Brussels,Healthcare,Biotechnology,0.0,0.0,,-146.54501,-0.31811002,none,,60.665,0.531,4.306,BRU,1.977392,-6.113,807.435,0.687,,,2020-12-31,https://logo.clearbit.com/acaciapharma.com
21,0.42,FR0000064602,0.41,13/08/2021 15:32,0.405,Euronext,ACANTHE DEV.,0.415,ACAN,ACAN.PA,CET,EUR,4148.646,9953,Paris,Real Estate,REIT—Office,0.01386,-0.77476996,-0.355,0.0103400005,0.00016000001,none,,20.789,0.075,0.913,PAR,0.648709,1303.449,18.062,0.963,,,2020-12-31,https://logo.clearbit.com/acanthedeveloppement.fr
22,41.7,NL0009767532,41.15,13/08/2021 17:35,40.9,Euronext,ACCELL GROUP,41.4,ACCEL,ACCEL.AS,CET,EUR,1619864.25,39351,Amsterdam,Consumer Cyclical,Leisure,0.077659994,0.060939997,0.033,0.072519995,0.054980002,none,,70.317,5.445,0.738,AMS,1.606043,12.105,0.94,14.025,0.543,23.187136,2021-06-30,https://logo.clearbit.com/accell-group.com
23,0.054,BE0003696102,0.054,13/08/2021 15:27,0.053,Euronext,ACCENTIS,0.054,ACCB,ACCB.BR,CET,EUR,11799.54,218900,Brussels,Financial,Property Management,0.51919,0.29062998,0.039,0.51894003,0.045739997,none,,64.63,0.003,0.675,BRU,0.179657,11.026,5.725,0.059,-0.477,,2020-12-31,https://logo.clearbit.com/accentis.com
24,29.32,FR0000120404,28.95,13/08/2021 17:37,28.8,Euronext,ACCOR,28.87,AC,AC.PA,CET,EUR,19478981.77,670930,Paris,Consumer Cyclical,Lodging,-0.2992,-1.2264,-0.668,-0.41024,-0.03395,none,,92.785,9.598,1.081,PAR,1.535102,-20.384,6.099,15.876,,16.53143,2020-12-31,https://logo.clearbit.com/group.accor.com
25,9.89,FR0014003PZ3,9.89,13/08/2021 16:11,9.601,Euronext,ACCOR AC SHARES,9.601,AAC,AAC.PA,CET,EUR,984.68,101,Paris,Financial Services,Shell Companies,0.0,0.0,,0.0,,none,,,,,PAR,,,,,,,No info,https://logo.clearbit.com/accoracquisitioncompany.com
26,0.4,FR0014003QK3,0.4,30/07/2021 09:00,0.4,Euronext,ACCOR AC WARRANTS,0.4,AACW,AACW.PA,CET,EUR,1.2,3,Paris,nan,nan,,,,,,nan,,,,,PAR,,,,,,,No info,
27,-,FR00140015P7,-,-,-,Euronext,ACCOR NV21,-,ACNV,ACNV.PA,CET,EUR,-,-,Paris,Services,Lodging,-0.2992,-1.2264,-0.668,-0.41024,-0.03395,none,,92.785,9.598,1.081,PAR,1.538759,-19.651,5.879,15.876,,,2020-12-31,https://logo.clearbit.com/group.accor.com
28,1.98,GB00BQQFX454,1.956,13/08/2021 17:35,1.956,Euronext,ACCSYS,1.958,AXS,AXS.AS,CET,EUR,122763.758,62270,Amsterdam,Basic Materials,Lumber & Wood Production,0.1039,-0.00913,0.135,0.04642,0.013300001,strong_buy,1.0,43.792,,1.421,AMS,,,,0.576,,,2021-03-31,https://logo.clearbit.com/accsysplc.com
29,0.0147,FR0010493510,0.0127,13/08/2021 17:35,0.0123,Euronext Growth,ACHETER-LOUER.FR,0.0123,ALALO,ALALO.PA,CET,EUR,844849.3153,63583874,Paris,Communication Services,Advertising Agencies,0.31378,-0.17926,-0.469,-0.1711,-0.02586,none,,6.73,0.004,1.889,PAR,4.337822,4.252,1.334,0.029,,,2020-12-31,https://logo.clearbit.com/acheter-louer.fr
30,149.8,BE0003764785,149.5,13/08/2021 17:35,148.8,Euronext,ACKERMANS V.HAAREN,149.6,ACKB,ACKB.BR,CET,EUR,1459244.2,9769,Brussels,Industrials,Engineering & Construction,0.14307,0.08387999,0.086,0.06631,0.01028,none,,53.097,36.182,0.56,BRU,0.759407,13.341,1.909,107.442,1.944,15.020242,2021-06-30,https://logo.clearbit.com/avh.be
31,2.45,FR0000076861,2.45,13/08/2021 16:06,2.43,Euronext,ACTEOS,2.43,EOS,EOS.PA,CET,EUR,895.46,366,Paris,Technology,Software—Application,0.023740001,0.00999,0.138,0.012569999,0.00741,none,,2207.654,1.399,0.901,PAR,2.129906,36.139,0.858,0.123,,,2020-12-31,https://logo.clearbit.com/acteos.com
32,3.18,FR0000076655,3.12,13/08/2021 16:47,3.09,Euronext,ACTIA GROUP,3.14,ATI,ATI.PA,CET,EUR,39010.44,12314,Paris,Consumer Cyclical,Auto Parts,0.01459,-0.043420002,-0.077,-0.017180001,-0.00839,none,,220.716,2.66,0.791,PAR,2.15644,41.93,0.612,5.954,,2.9514563,2020-12-31,https://logo.clearbit.com/actia.com
33,1.47,FR0010979377,1.47,12/08/2021 16:30,1.36,Euronext Access,ACTIVIUM GROUP,1.36,MLACT,MLACT.PA,CET,EUR,62.3,45,Paris,Technology,Computer Hardware,0.0,0.05669,,0.0,,none,,,,,PAR,1.963515,,,,,,No info,https://logo.clearbit.com/activium-id.com
34,11.1,FR0000053076,11.1,13/08/2021 09:00,11.1,Euronext Growth,ADA,11.1,ALADA,ALADA.PA,CET,EUR,11.1,1,Paris,Industrials,Rental & Leasing Services,0.04691,0.01713,-0.108,0.00694,0.00382,none,,82.723,1.304,1.172,PAR,0.846801,13.594,0.638,10.528,-0.59,,2020-12-31,https://logo.clearbit.com/ada.fr
35,0.12,BE0974269012,0.12,06/08/2021 16:30,0.12,Euronext,ADC SIIC,0.12,ALDV,ALDV.PA,CET,EUR,242.64,2022,Paris,Real Estate,REIT—Residential,0.04344,8.26307,-0.789,0.0152900005,0.00018999999,none,,0.846,0.039,0.475,PAR,0.815686,303.259,13.175,0.388,0.612,,2020-06-30,https://logo.clearbit.com/adcsiic.eu
36,2.56,FR0013284627,2.56,13/08/2021 13:40,2.55,Euronext Growth,ADEUNIS,2.56,ALARF,ALARF.PA,CET,EUR,564.26,221,Paris,Technology,Communication Equipment,-0.29183,0.22693,-0.623,-0.32880002,-0.14273,none,,30.91,1.023,1.769,PAR,0.975862,-2.789,0.814,1.507,,,2020-09-30,https://logo.clearbit.com/adeunis.com
37,172.1,NO0010844038,171.65,13/08/2021 16:26,168.6,B?rs,ADEVINTA,168.7,ADE,ADE.OL,CET,NOK,23789258.6,138985,Oslo,Communication Services,Internet Content & Information,0.21597,-0.10821,0.044,0.19586,0.03111,none,,134.803,0.212,2.19,OSL,0.301933,883.905,190.901,1.785,,,2021-03-31,https://logo.clearbit.com/adevinta.com
38,15.9,FR0000062978,15.7,13/08/2021 16:31,15.7,Euronext,ADL PARTNER,15.85,ALP,ALP.PA,CET,EUR,3019.05,192,Paris,Communication Services,Advertising Agencies,0.07535,0.04657,0.038,0.06959,0.05047,none,,109.671,11.313,1.097,PAR,0.948372,4.402,0.332,5.202,0.163,,2020-12-31,https://logo.clearbit.com/adlperformance.com
39,9.2,FR0011184241,9.15,13/08/2021 13:38,9.14,Euronext,ADOCIA,9.2,ADOC,ADOC.PA,CET,EUR,8983.9,981,Paris,Healthcare,Biotechnology,-2.91965,0.0,-0.035,-3.0949798,-0.24678,none,,445.122,4.022,3.286,PAR,1.089552,-3.052,8.912,0.906,,-7.353383,2020-12-31,https://logo.clearbit.com/adocia.com
40,0.208,FR0013247244,0.208,13/08/2021 14:54,0.205,Euronext Growth,ADOMOS,0.206,ALADO,ALADO.PA,CET,EUR,1347.7395,6504,Paris,Real Estate,Real Estate Services,-0.85507005,-1.84552,-0.003,-1.25472,-0.24155001,none,,38.016,0.403,0.642,PAR,1.702104,-1.729,1.478,0.835,,,2010-12-31,https://logo.clearbit.com/adomos.com
41,102.7,FR0010340141,101.7,13/08/2021 17:36,100.75,Euronext,ADP,102.5,ADP,ADP.PA,CET,EUR,7012927.55,69026,Paris,Industrials,Airports & Air Services,0.117469996,-0.40756,-0.153,-0.22012,-0.01507,none,,263.508,29.057,1.316,PAR,1.418069,80.962,9.51,36.91,,,2021-06-30,https://logo.clearbit.com/parisaeroport.fr
42,1.754,CY0108052115,1.754,13/08/2021 16:25,1.67,Euronext Growth,ADS MARITIME HOLD,1.684,ADS,ADS.OL,CET,NOK,132433.846,78046,Oslo,Industrials,Marine Shipping,0.54493,0.34209,-0.998,0.3031,0.13545999,none,,,2.381,44.146,OSL,-0.768786,-0.481,-0.262,2.387,,,2020-12-31,https://logo.clearbit.com/adscrude.com
43,1.25,FR0010457531,1.205,13/08/2021 17:27,1.205,Euronext Growth,ADTHINK,1.21,ALADM,ALADM.PA,CET,EUR,22367.3,18316,Paris,Communication Services,Advertising Agencies,0.08153,0.06727,0.052,0.07704,0.048109997,none,,56.9,0.313,1.796,PAR,0.526374,10.233,0.834,0.693,,,2020-12-31,https://logo.clearbit.com/adthink.com
44,2,FR0012821890,1.985,13/08/2021 14:35,1.955,Euronext,ADUX,1.99,ADUX,ADUX.PA,CET,EUR,1105.01,556,Paris,Communication Services,Advertising Agencies,-0.06821,-0.01729,0.159,-0.058920003,-0.02655,none,,,0.963,0.694,PAR,0.975869,-7.781,0.531,-0.899,,,2021-06-30,https://logo.clearbit.com/adux.com
45,2,FR0012821890,1.985,13/08/2021 14:35,1.955,Euronext,ADUX,1.99,ADUX,ADUX.AS,CET,EUR,1105.01,556,Amsterdam,nan,nan,,,,,,nan,,,,,nan,,,,,,,No info,
46,2.26,FR0004152874,2.2,11/08/2021 09:27,2.2,Euronext,ADVENIS,2.26,ADV,ADV.PA,CET,EUR,190,85,Paris,Financial Services,Capital Markets,0.02484,-0.06595,-0.27,0.02484,0.00746,strong_buy,1.0,230.694,0.336,0.592,PAR,0.806397,31.072,0.772,0.34,,-6.1176467,2020-12-31,https://logo.clearbit.com/advenis.com
47,7.6,FR0013296746,7.48,13/08/2021 17:35,7.46,Euronext,ADVICENNE,7.5,ADVIC,ADVIC.PA,CET,EUR,191110.15,25334,Paris,Healthcare,Biotechnology,0.0,0.0,0.281,-4.04927,-0.36902002,none,,421.669,1.958,1.721,PAR,1.068191,-4.578,18.336,1.12,,,2020-12-31,https://logo.clearbit.com/advicenne.com
48,7.6,FR0013296746,7.48,13/08/2021 17:35,7.46,Euronext,ADVICENNE,7.5,ADVIC,ADVIC.BR,CET,EUR,191110.15,25334,Brussels,nan,nan,,,,,,nan,,,,,nan,,,,,,,No info,
49,21,FR0000053043,21,13/08/2021 09:38,20.8,Euronext,ADVINI,20.8,ADVI,ADVI.PA,CET,EUR,2120.8,101,Paris,Consumer Defensive,Beverages—Wineries & Distilleries,0.03111,-0.01647,-0.072,0.0019,0.00075,none,,208.169,6.621,0.324,PAR,0.722222,33.365,1.038,22.624,,,2020-12-31,https://logo.clearbit.com/advini.com
50,2360.5,NL0012969182,2356.5,13/08/2021 17:35,2328,Euronext,ADYEN,2347.5,ADYEN,ADYEN.AS,CET,EUR,84844938,36157,Amsterdam,Technology,Software—Infrastructure,0.10594,0.079380006,0.637,0.10307,0.07659,none,,8.937,109.833,1.411,AMS,1.004909,161.191,17.077,40.128,1.092,484.71225,2021-06-30,https://logo.clearbit.com/adyen.com
51,123.8,BE0003851681,123.4,13/08/2021 17:35,121.8,Euronext,AEDIFICA,122.8,AED,AED.BR,CET,EUR,3051874.7,24808,Brussels,Real Estate,REIT—Healthcare Facilities,0.82331,0.97212,0.224,0.8282,,none,,75.919,0.64,0.114,BRU,0.532497,39.194,31.804,67.945,1.664,,2021-06-30,https://logo.clearbit.com/aedifica.be
52,123.8,BE0003851681,123.4,13/08/2021 17:35,121.8,Euronext,AEDIFICA,122.8,AED,AED.AS,CET,EUR,3051874.7,24808,Amsterdam,nan,nan,,,,,,nan,,,,,nan,,,,,,,No info,
53,2.395,NO0010626559,2.33,13/08/2021 16:25,2.28,Euronext Expand,AEGA,2.39,AEGA,AEGA.OL,CET,NOK,225322.415,96704,Oslo,Utilities,Utilities—Renewable,-0.36022,-1.68861,0.951,-0.93094003,-0.032780003,none,,108.183,0.053,3.319,OSL,0.865118,-351.7,126.69,0.164,,,2021-03-31,https://logo.clearbit.com/aega.no
54,4.305,NL0000303709,4.239,13/08/2021 17:38,4.225,Euronext,AEGON,4.225,AGN,AGN.AS,CET,EUR,70268805.31,16491648,Amsterdam,Financial Services,Insurance—Diversified,-0.00913,-0.013200001,,-0.012460001,,none,,45.203,9.351,,AMS,1.472502,0.383,-0.003,11.958,-0.698,5.478082,2021-03-31,https://logo.clearbit.com/aegon.com
55,3.38,US00774B2088,3.38,13/08/2021 09:00,3.38,Euronext,AERKOMM INC,3.38,AKOM,AKOM.PA,CET,EUR,3.38,1,Paris,Technology,Communication Equipment,0.0,0.0,,0.0,-0.10893,none,,34.453,0.011,0.01,PAR,1.356213,-6.284,,3.79,,,2021-03-31,https://logo.clearbit.com/aerkomm.com
56,189,NO0003078107,186.2,13/08/2021 16:25,184.2,B?rs,AF GRUPPEN,185.6,AFG,AFG.OL,CET,NOK,2270168.8,12136,Oslo,Industrials,Engineering & Construction,0.05426,0.03798,-0.06,0.04682,0.05993,none,,31.486,5.946,0.598,OSL,0.491582,14.344,0.778,25.795,0.31,21.33492,2021-03-31,https://logo.clearbit.com/afgruppen.com
57,6.2,FR0013333077,6.2,13/08/2021 17:35,6.15,Euronext,AFFLUENT MEDICAL,6.2,AFME,AFME.PA,CET,EUR,22329.04,3610,Paris,Healthcare,Medical Devices,0.0,0.0,,-15.283979,-0.121020004,none,,,,0.78,PAR,,-2.198,29.191,15.161,,,No info,https://logo.clearbit.com/affluentmedical.com
58,0.5,FR0011908045,0.5,16/06/2021 11:30,0.5,Euronext Access,AG3I,0.5,MLAGI,MLAGI.PA,CET,EUR,1,2,Paris,Industrials,Engineering & Construction,0.0,-0.11013,,-0.11035,,none,,,,,PAR,0.082594,,,,,,No info,https://logo.clearbit.com/ag3i-sas.com
59,44.72,BE0974264930,44.61,13/08/2021 17:35,44.36,Euronext,AGEAS,44.56,AGS,AGS.BR,CET,EUR,15847854.96,355568,Brussels,Financial Services,Insurance—Diversified,0.072119996,0.05896,-0.204,0.050780002,0.0037200002,none,,51.928,12.473,0.403,BRU,0.86602,15.689,1.131,62.696,-0.673,9.004651,2021-06-30,https://logo.clearbit.com/ageas.com
60,4.33,BE0003755692,4.33,13/08/2021 17:35,4.265,Euronext,AGFA-GEVAERT,4.265,AGFB,AGFB.BR,CET,EUR,691424.68,160570,Brussels,Industrials,Specialty Industrial Machinery,0.01736,0.36286998,-0.09,-0.00059999997,-0.00027000002,none,,13.12,3.546,1.769,BRU,0.616915,5.989,0.104,3.444,,8.891305,2021-03-31,https://logo.clearbit.com/agfa.com
61,26,NO0010872468,25.5,13/08/2021 16:25,25,Euronext Growth,AGILYX,25,AGLX,AGLX.OL,CET,NOK,3109986.1,121215,Oslo,Industrials,Waste Management,-1.49324,-2.33758,,-1.5433099,-0.14812,none,,7.459,0.519,7.735,OSL,,-307.092,458.562,0.497,,,2020-12-31,https://logo.clearbit.com/agilyx.com
62,2.95,ES0105478004,2.95,23/11/2020 11:52,2.95,Euronext Access,AGP MALAGA SOCIMI,2.95,MLAGP,MLAGP.PA,CET,EUR,5900,2000,Paris,Real Estate,REIT—Diversified,0.66580003,0.53595,,0.49987,,none,,,,1.889,PAR,,9.316,6.202,3.015,,,No info,https://logo.clearbit.com/agpsocimi.com
63,7.92,FR0013452281,7.66,13/08/2021 17:06,7.62,Euronext Growth,AGRIPOWER,7.92,ALAGP,ALAGP.PA,CET,EUR,37119.58,4812,Paris,Utilities,Utilities—Renewable,-0.01884,-0.028080001,-0.255,-0.019709999,,none,,48.666,2.236,2.044,PAR,,-143.456,2.703,1.83,-0.686,,2020-12-31,https://logo.clearbit.com/agripower-france.com
64,0.17,FR0010641449,0.169,13/08/2021 17:35,0.153,Euronext Growth,AGROGENERATION,0.155,ALAGR,ALAGR.PA,CET,EUR,152559.8885,927355,Paris,Consumer Defensive,Farm Products,0.22406,0.06764,0.506,0.03954,,none,,,,,PAR,-0.004975,,,0.09,,,2020-12-31,https://logo.clearbit.com/agrogeneration.com
65,1.17,PTCUR0AP0000,1.17,06/09/2017 20:30,1.17,Euronext Access,AGUAS DA CURIA,1.17,CUR,CUR.LS,BST,EUR,37.44,32,Lisbon,nan,nan,,,,,,none,,,,,LIS,,,,,,,No info,
66,27.945,NL0011794037,27.805,13/08/2021 17:37,27.675,Euronext,AHOLD DEL,27.905,AD,AD.AS,CET,EUR,71009180.62,2554116,Amsterdam,Consumer Defensive,Grocery Stores,0.06711,0.01741,0.003,0.04678,0.05025,none,,130.884,4.373,0.475,AMS,0.183501,8.045,0.54,12.682,-0.147,17.496933,2021-04-04,https://logo.clearbit.com/aholddelhaize.com
67,27.945,NL0011794037,27.805,13/08/2021 17:37,27.675,Euronext,AHOLD DEL,27.905,AD,AD.BR,CET,EUR,71009180.62,2554116,Brussels,nan,nan,,,,,,nan,,,,,nan,,,,,,,No info,
68,2.479,IE00BF0L3536,2.475,13/08/2021 21:03,2.4,Euronext,AIB GROUP PLC,2.4,A5G,A5G.IR,IST,EUR,3492541.348,1422563,Dublin,Financial Services,Banks—Regional,0.0,0.10108,,0.34025002,0.00208,none,,,15.931,,ISE,2.542168,,-7.913,4.944,,,2021-06-30,https://logo.clearbit.com/group.aib.ie
69,4.075,FR0000031122,4.029,13/08/2021 17:38,4.011,Euronext,AIR FRANCE -KLM,4.048,AF,AF.PA,CET,EUR,8698332.858,2157616,Paris,Industrials,Airlines,-0.27539,-0.57518,1.328,-0.42064,-0.086840004,none,,,10.251,0.736,PAR,2.187571,-5.395,1.486,-15.212,,2.9432626,2021-06-30,https://logo.clearbit.com/airfranceklm.com
70,4.075,FR0000031122,4.029,13/08/2021 17:38,4.011,Euronext,AIR FRANCE -KLM,4.048,AF,AF.AS,CET,EUR,8698332.858,2157616,Amsterdam,nan,nan,,,,,,nan,,,,,YHD,,,,,,,No info,
71,148.94,FR0000120073,148.78,13/08/2021 17:35,147.98,Euronext,AIR LIQUIDE,148.2,AI,AI.PA,CET,EUR,58846026.42,396128,Paris,Basic Materials,Chemicals,0.2607,0.12328,0.056,0.17477,0.05251,none,,74.66,2.939,0.467,PAR,0.541526,15.148,3.949,39.273,0.149,24.539898,2021-06-30,https://logo.clearbit.com/airliquide.com
72,1.8,FR0013285103,1.8,12/08/2021 11:30,1.8,Euronext Access,AIR MARINE,1.8,MLAIM,MLAIM.PA,CET,EUR,1.8,1,Paris,Industrials,Aerospace & Defense,0.053439997,-0.04028,,-0.13637,-0.06513,none,,,,0.931,PAR,1.103703,12.92,0.69,1.421,,,No info,https://logo.clearbit.com/air-marine.fr
73,116.34,NL0000235190,115.44,13/08/2021 17:35,114.96,Euronext,AIRBUS,114.96,AIR,AIR.PA,CET,EUR,78710664.58,681571,Paris,Industrials,Aerospace & Defense,0.08295,-0.00583,-0.016,0.04009,0.01107,none,,240.303,23.234,0.514,PAR,1.857696,18.112,1.502,8.972,,29.120821,2021-03-31,https://logo.clearbit.com/airbus.com
74,9.9,NO0010895568,9.83,13/08/2021 16:25,9.46,Euronext Growth,AIRTHINGS,9.46,AIRX,AIRX.OL,CET,NOK,3692540.32,379213,Oslo,Industrials,Electrical Equipment & Parts,-0.29905,-0.29569998,0.794,-0.33195,-0.120299995,none,,,2.634,8.816,OSL,,-13.65,4.082,3.645,,,2021-06-30,https://logo.clearbit.com/airthings.com
75,4,FR0014003V77,3.95,13/08/2021 16:30,3.95,Euronext Access,AIRWELL,4,MLAIR,MLAIR.PA,CET,EUR,25075.75,6285,Paris,nan,nan,,,,,,nan,,,,,PAR,,,,,,,No info,
76,15,NL0000018034,14.8,13/08/2021 17:35,14.8,Euronext,AJAX,15,AJAX,AJAX.AS,CET,EUR,48961.6,3288,Amsterdam,Consumer Cyclical,Leisure,-0.07777,0.04737,-0.287,-0.59153,-0.084189996,none,,55.633,5.197,1.356,AMS,0.575757,-31.691,2.465,14.646,-0.273,,2020-12-31,https://logo.clearbit.com/ajax.nl
