,Unnamed: 0,Unnamed: 0.1,Sector,Industry,Name,Symbol,Volume,Market Cap,longName,ebitdaMargins,profitMargins,revenueGrowth,operatingMargins,returnOnAssets,recommendationKey,recommendationMean,debtToEquity,totalCashPerShare,quickRatio,exchange,beta,enterpriseToEbitda,enterpriseToRevenue,bookValue,earningsQuarterlyGrowth,forwardPE,mostRecentQuarter,logo_url
14,14,14,Capital Goods,Industrial Machinery/Components,AAON Inc. Common Stock,AAON,102544,3614285465.0,"AAON, Inc.",0.23062,0.14936,0.146,0.17542,0.12,hold,3.0,,2.126,2.141,NMS,0.5320060000000001,29.702,6.85,7.1160000000000005,0.158,43.642857,2021-06-30,https://logo.clearbit.com/aaon.com
15,15,15,Consumer Services,Other Specialty Stores,Advance Auto Parts Inc Advance Auto Parts Inc W/I,AAP,455454,13508545934.0,"Advance Auto Parts, Inc.",0.11545999,0.059169997,0.234,0.09229,0.05175,buy,2.2,99.793,13.563,0.35200000000000004,NYQ,1.371705,12.984000000000002,1.499,53.95399999999999,3.266,16.403451999999998,2021-04-24,https://logo.clearbit.com/advanceautoparts.com
16,16,16,Technology,Computer Manufacturing,Apple Inc. Common Stock,AAPL,59318602,2584997394000.0,Apple Inc.,0.31955,0.25004,0.364,0.28788,0.19302,buy,1.9,210.782,3.732,0.887,NMS,1.202797,22.441,7.171,4.146,0.932,29.056074,2021-06-26,https://logo.clearbit.com/apple.com
17,17,17,Finance,Finance: Consumer Services,Accelerate Acquisition Corp. Class A Common Stock,AAQC,393833,482500000.0,Accelerate Acquisition Corp.,0.0,0.0,,0.0,,none,,,0.026,,NYQ,,,,,,,2021-03-31,https://logo.clearbit.com/xlr8ac.com
18,18,18,Consumer Services,Real Estate Investment Trusts,American Assets Trust Inc. Common Stock,AAT,124902,2312451766.0,"American Assets Trust, Inc.",0.55903,0.05111,-0.13,0.24204999,0.017180001,hold,2.6,136.071,6.291,6.295,NYQ,1.273667,19.16,10.711,20.796,-0.8959999999999999,47.088234,2021-03-31,https://logo.clearbit.com/americanassetstrust.com
19,19,19,Capital Goods,Industrial Machinery/Components,Autoscope Technologies Corporation Common Stock,AATC,195896,38176423.0,Autoscope Technologies Corporation Common Stock,,,,,,,,,,,NCM,,,,,,,No info,
20,20,20,Basic Industries,Precious Metals,Almaden Minerals Ltd. Common Shares,AAU,383002,57495770.0,Almaden Minerals Ltd.,0.0,0.0,,0.0,-0.03744,none,,3.663,0.102,18.383,ASE,1.233399,-10.127,,0.605,,,2021-03-31,https://logo.clearbit.com/almadenminerals.com
21,21,21,Transportation,Transportation Services,Atlas Air Worldwide Holdings NEW Common Stock,AAWW,583189,2223306268.0,"Atlas Air Worldwide Holdings, Inc.",0.2475,0.12449,0.338,0.16218,0.06097,buy,2.0,114.557,24.261,0.924,NMS,1.3086950000000002,4.73,1.171,82.16,2.8510000000000004,7.009542,2021-03-31,https://logo.clearbit.com/atlasairworldwide.com
22,22,22,Finance,Investment Managers,AllianceBernstein Holding L.P.  Units,AB,241898,5051248112.0,AllianceBernstein Holding L.P.,0.0,0.91085,0.272,1.0,0.12991,buy,2.2,,,,NYQ,1.41576,,13.855,16.174,0.302,13.87062,2021-03-31,https://logo.clearbit.com/alliancebernstein.com
23,23,23,Consumer Durables,Electrical Products,ABB Ltd Common Stock,ABB,1148504,75866920000.0,ABB Ltd,0.1288,0.20292,0.21,0.09835,0.04004,buy,2.2,52.615,1.938,0.7609999999999999,NYQ,1.06285,21.578000000000007,2.779,6.7639999999999985,1.357,22.899878,2021-06-30,https://logo.clearbit.com/global.abb
24,24,24,Health Care,Major Pharmaceuticals,AbbVie Inc. Common Stock,ABBV,4415136,205840605967.0,AbbVie Inc.,0.51499003,0.12401,0.339,0.35173000000000004,0.0794,buy,2.0,652.342,4.867,0.645,NYQ,0.789133,9.969,5.134,7.765,,7.797055,2021-06-30,https://logo.clearbit.com/abbvie.com
25,25,25,Health Care,Other Pharmaceuticals,AmerisourceBergen Corporation Common Stock,ABC,854922,24845105460.0,AmerisourceBergen Corporation,0.01403,-0.01909,0.037000000000000005,0.01197,0.032980002,buy,2.3,,32.331,0.64,NYQ,0.53913,8.9,0.125,-1.372,-0.547,11.71807,2021-03-31,https://logo.clearbit.com/amerisourcebergen.com
26,26,26,Finance,Major Banks,Ameris Bancorp Common Stock,ABCB,220294,3518319300.0,Ameris Bancorp,0.0,0.34829,0.64,0.45769,0.01854,buy,1.9,,40.634,,NMS,1.422742,,1.136,39.704,5.4670000000000005,11.7720585,2021-03-31,https://logo.clearbit.com/amerisbank.com
27,27,27,Consumer Durables,Major Pharmaceuticals,AbCellera Biologics Inc. Common Shares,ABCL,9975155,4846864136.0,AbCellera Biologics Inc.,0.71948,0.51202,1.462,0.6967,0.29826,buy,1.6,3.606,2.844,12.298,NMS,,12.86,9.253,,,,2021-06-30,https://logo.clearbit.com/abcellera.com
28,28,28,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Abcam plc American Depositary Shares,ABCM,19578,4664569523.0,Abcam plc,0.19272,-0.0070599997,0.067,0.12625,0.029409999,buy,2.0,18.58,0.965,4.788,NMS,0.555742,75.56,14.562,,-0.552,,2020-12-31,https://logo.clearbit.com/abcam.com
29,29,29,Health Care,Major Pharmaceuticals,Abeona Therapeutics Inc. Common Stock,ABEO,401807,124509227.0,Abeona Therapeutics Inc.,0.0,0.0,,-4.904,-0.20775999,buy,1.7,9.752,0.7659999999999999,1.853,NCM,1.385745,-1.206,5.515,0.953,,-2.1393442000000005,2021-06-30,https://logo.clearbit.com/abeonatherapeutics.com
30,30,30,Consumer Non-Durables,Beverages (Production/Distribution),Ambev S.A. American Depositary Shares (Each representing 1 Common Share),ABEV,14535564,49099942735.0,Ambev S.A.,0.31997,0.20688999,0.32,0.23688999,0.07479,hold,3.2,6.011,1.229,0.8059999999999999,NYQ,0.934631,2.074,0.6629999999999999,5.212999999999999,1.405,21.333332,2021-03-31,https://logo.clearbit.com/ambev.com.br
31,31,31,Consumer Services,Other Specialty Stores,Asbury Automotive Group Inc Common Stock,ABG,101767,3773695481.0,"Asbury Automotive Group, Inc.",0.06623,0.042460000000000005,0.364,0.0612,0.08876,buy,2.3,217.976,1.4369999999999998,0.319,NYQ,1.72663,10.334,0.684,51.605,3.759,10.52886,2021-03-31,https://logo.clearbit.com/asburyauto.com
32,32,32,Finance,Business Services,ABG Acquisition Corp. I Class A Ordinary Shares,ABGI,2038,187332410.0,ABG Acquisition Corp. I,0.0,0.0,,0.0,,none,,,0.036000000000000004,0.193,NCM,,,,,,,2021-06-30,https://logo.clearbit.com/abgacquisitioncorpi.com
33,33,33,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,ARCA biopharma Inc. Common Stock,ABIO,150087,42077618.0,"ARCA biopharma, Inc.",0.0,0.0,,0.0,-0.26073,none,,0.853,4.386,17.102999999999998,NCM,2.710597,1.167,,4.574,,-0.34431818,2021-06-30,https://logo.clearbit.com/arcabio.com
34,34,34,Technology,Diversified Commercial Services,ABM Industries Incorporated Common Stock,ABM,313228,3190750974.0,ABM Industries Incorporated,0.076799996,0.0366,0.001,0.061189998,0.05703,buy,2.0,50.344,6.49,1.27,NYQ,1.387305,7.8210000000000015,0.601,23.835,,14.853210999999998,2021-04-30,https://logo.clearbit.com/abm.com
35,35,35,Health Care,Medical/Dental Instruments,ABIOMED Inc. Common Stock,ABMD,88361,14596551944.0,"Abiomed, Inc.",0.30991,0.16510001,0.532,0.28342,0.12236,buy,2.4,0.433,11.526,5.407,NMS,1.3023129999999998,54.206,16.799,29.371,,71.61568,2021-06-30,https://logo.clearbit.com/abiomed.com
36,36,36,Finance,Diversified Commercial Services,Airbnb Inc. Class A Common Stock,ABNB,16782210,91105912309.0,"Airbnb, Inc.",-0.95107,-1.5821899,0.054000000000000006,-0.98254997,,buy,2.3,77.768,10.799,1.014,NMS,,-26.702,25.395,,,,2021-03-31,https://logo.clearbit.com/airbnb.com
37,37,37,No info,,Acumen Pharmaceuticals Inc. Common Stock,ABOS,87004,586347730.0,"Acumen Pharmaceuticals, Inc.",0.0,0.0,,-10.44854,,buy,2.0,,1.7,15.255,NMS,,,695.552,-190.594,,-16.645454,2021-06-30,https://logo.clearbit.com/acumenpharm.com
38,38,38,Consumer Services,Real Estate Investment Trusts,Arbor Realty Trust Common Stock,ABR,1102052,2620335601.0,"Arbor Realty Trust, Inc.",0.0,0.52435,,0.59082,0.045879997,buy,2.2,375.007,1.989,5.443,NYQ,1.913492,,15.078,10.763,,9.455958,2021-03-31,https://logo.clearbit.com/arbor.com
39,39,39,No info,,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,ABR^D,8572,,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,,,,,,,,,,,,,,,,,,No info,
40,40,40,No info,,Absci Corporation Common Stock,ABSI,336368,2307173050.0,Absci Corporation,0.0,0.0,0.858,-4.166,,none,,230.579,9.222,10.453,NMS,,-25.282,98.499,-5.025,,,2021-03-31,https://logo.clearbit.com/absci.com
41,41,41,Consumer Services,Other Consumer Services,Absolute Software Corporation Common Stock,ABST,84170,572081987.0,Absolute Software Corporation,0.15853,0.07707,0.17600000000000002,0.13114001,0.058220000000000015,none,,46.907,2.684,1.384,NMS,0.796844,30.39,4.8180000000000005,,-0.011,,2021-03-31,https://logo.clearbit.com/absolute.com
42,42,42,Health Care,Medical/Dental Instruments,Abbott Laboratories Common Stock,ABT,3475037,218162902968.0,Abbott Laboratories,0.27738002,0.1533,0.353,0.18544,0.06202000000000001,buy,1.9,54.587,4.712,1.161,NYQ,0.67519,21.379,5.93,18.889,2.1790000000000003,27.413277,2021-03-31,https://logo.clearbit.com/abbott.com
43,43,43,Finance,Major Banks,Allegiance Bancshares Inc. Common Stock,ABTX,32686,747945787.0,"Allegiance Bancshares, Inc.",0.0,0.32711,0.475,0.44948003,0.011829999,hold,3.0,,35.186,,NGM,1.090371,,1.402,37.682,1.314,13.126810999999998,2021-06-30,https://logo.clearbit.com/allegiancebank.com
44,44,44,Consumer Durables,Major Pharmaceuticals,Arbutus Biopharma Corporation Common Stock,ABUS,812134,304424988.0,Arbutus Biopharma Corporation,0.0,0.0,0.5379999999999999,-7.755719999999998,-0.34747002,buy,2.4,2.809,0.79,9.012,NMS,2.871974,-6.526,49.161,-0.529,,-5.0820894,2021-06-30,https://logo.clearbit.com/arbutusbio.com
45,45,45,Health Care,Major Pharmaceuticals,ABVC Biopharma Inc. Common Stock,ABVC,447899,56655620.0,"ABVC BioPharma, Inc.",0.0,0.0,-0.861,-19.961689,-0.76644,none,,1259.191,0.038,0.341,NCM,0.225927,-8.133,161.977,0.107,,-4.4935064,2021-06-30,https://logo.clearbit.com/abvcpharma.com
46,46,46,Finance,Investment Bankers/Brokers/Service,Associated Capital Group Inc. Common Stock,AC,10207,807706023.0,"Associated Capital Group, Inc.",-1.03178,6.0354304,-0.215,-0.99170995,-0.01096,none,,,16.035999999999998,8.721,NYQ,1.309239,-36.43,37.588,41.223,,14.065638,2021-03-31,https://logo.clearbit.com/associated-capital-group.com
47,47,47,Capital Goods,Industrial Machinery/Components,Arcosa Inc. Common Stock ,ACA,129514,2462633874.0,"Arcosa, Inc.",0.13840999999999998,0.04815,-0.098,0.07533,0.03362,buy,1.8,14.744000000000002,1.7,1.188,NYQ,0.390201,10.636,1.472,39.654,-0.4970000000000001,19.858824,2021-03-31,https://logo.clearbit.com/arcosa.com
48,48,48,Health Care,Major Pharmaceuticals,ACADIA Pharmaceuticals Inc. Common Stock,ACAD,753426,2824108933.0,ACADIA Pharmaceuticals Inc.,-0.45365003,-0.5674100000000001,0.183,-0.46055,-0.17556,hold,2.6,11.462,3.607,5.807,NMS,0.736956,-17.706,8.032,3.631,,-19.410715,2021-03-31,https://logo.clearbit.com/acadia-pharm.com
49,49,49,Finance,Finance: Consumer Services,Atlantic Coastal Acquisition Corp. Class A Common Stock,ACAH,30000,416156250.0,Atlantic Coastal Acquisition Corp.,0.0,0.0,,0.0,,none,,,0.006999999999999999,,NCM,,,,,,,2021-06-30,https://logo.clearbit.com/atlanticcoastalacquisition.com
50,50,50,Finance,Business Services,Atlantic Coastal Acquisition Corp. Unit,ACAHU,28625,0.0,Atlantic Coastal Acquisition Corp.,0.0,0.0,,0.0,,none,,,0.006999999999999999,,NCM,,,,,,,2021-06-30,https://logo.clearbit.com/atlanticcoastalacquisition.com
51,51,51,Finance,Business Services,Atlantic Coastal Acquisition Corp. Warrant,ACAHW,12833,0.0,Atlantic Coastal Acquisition Corp.,,,,,,,,,,,NCM,,,,,,,No info,
52,52,52,Health Care,Major Pharmaceuticals,Aurora Cannabis Inc. Common Shares,ACB,5107321,1342302658.0,Aurora Cannabis Inc.,-1.3866401000000002,0.0,-0.25,-1.62879,-0.07202,none,,22.08,2.408,4.1789999999999985,NMS,3.24183,-3.619,5.019,11.002,,,2021-03-31,https://logo.clearbit.com/auroramj.com
53,53,53,Miscellaneous,Business Services,Ace Global Business Acquisition Limited Ordinary Shares,ACBA,10,60488541.0,Ace Global Business Acquisition Limited,,,,,,,,,,,NCM,,,,,,,No info,
54,54,54,Miscellaneous,Business Services,Ace Global Business Acquisition Limited Warrant,ACBAW,3280,0.0,Ace Global Business Acquisition Limited,,,,,,,,,,,NCM,,,,,,,No info,
55,55,55,Finance,Major Banks,Atlantic Capital Bancshares Inc. Common Stock,ACBI,73583,511837571.0,"Atlantic Capital Bancshares, Inc.",0.0,0.35217997,1.05,0.43668997,0.01047,buy,2.2,,32.09,,NMS,0.919565,,-0.413,16.72,5.291,12.420512,2021-03-31,https://logo.clearbit.com/atlanticcapitalbank.com
56,56,56,Consumer Services,Real Estate Investment Trusts,American Campus Communities Inc Common Stock,ACC,300922,6780067966.0,"American Campus Communities, Inc.",0.45214,0.01312,0.124,0.142,0.0103400005,buy,2.1,136.403,0.219,0.5770000000000001,NYQ,0.938676,28.585,12.924,22.264,,115.84091,2021-06-30,https://logo.clearbit.com/americancampus.com
57,57,57,Miscellaneous,Miscellaneous,Accolade Inc. Common Stock,ACCD,287873,2976621987.0,"Accolade, Inc.",-0.27378,-0.44022,0.6579999999999999,-0.32644,-0.07822,strong_buy,1.5,63.928,6.44,2.648,NMS,,-49.253,13.484000000000002,,,,2021-05-31,https://logo.clearbit.com/accolade.com
58,58,58,Consumer Services,Advertising,Acco Brands Corporation Common Stock,ACCO,568351,910045103.0,ACCO Brands Corporation,0.10823,0.01998,0.069,0.07023,0.02611,buy,1.6,183.07,0.7859999999999999,0.768,NYQ,2.218478,11.124,1.204,7.422999999999999,,6.386667,2021-03-31,https://logo.clearbit.com/accobrands.com
59,59,59,Consumer Services,Recreational Products/Toys,Accel Entertainment Inc. ,ACEL,143604,1040718449.0,"Accel Entertainment, Inc.",0.08283,-0.13153,0.381,-0.03858,-0.0150999995,buy,2.4,273.965,1.849,3.07,NYQ,,45.216,3.745,,-0.969,,2021-03-31,https://logo.clearbit.com/accelentertainment.com
60,60,60,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Acer Therapeutics Inc. Common Stock (DE),ACER,44411,35060098.0,Acer Therapeutics Inc.,0.0,0.0,,-4.810920200000001,-0.39641997,hold,2.7,8.097000000000001,1.111,0.7609999999999999,NCM,1.181443,-1.4169999999999998,6.792999999999998,0.727,,-1.888112,2021-03-31,https://logo.clearbit.com/acertx.com
61,61,61,Health Care,Major Pharmaceuticals,Adicet Bio Inc. Common Stock ,ACET,135677,151429370.0,"Adicet Bio, Inc.",0.0,0.0,-0.355,-5.0679502,-0.17108999,strong_buy,1.4,8.996,6.555,10.094,NGM,,-0.573,2.817,7.4289999999999985,,-2.9074073,2021-06-30,https://logo.clearbit.com/adicetbio.com
62,62,62,Technology,Semiconductors,ACE Convergence Acquisition Corp. Class A Ordinary Shares,ACEV,67507,283187500.0,ACE Convergence Acquisition Corp.,0.0,0.0,,0.0,,none,,,0.001,0.03,NCM,,,,,,,2021-03-31,https://logo.clearbit.com/acev.io
63,63,63,Technology,Semiconductors,ACE Convergence Acquisition Corp. Unit,ACEVU,300,0.0,ACE Convergence Acquisition Corp.,0.0,0.0,,0.0,,none,,,0.001,0.03,NCM,,,,,,,2021-03-31,https://logo.clearbit.com/acev.io
64,64,64,Technology,Semiconductors,ACE Convergence Acquisition Corp. Warrant,ACEVW,23192,0.0,ACE Convergence Acquisition Corp.,,,,,,,,,,,NCM,,,,,,,No info,
65,65,65,Finance,Property-Casualty Insurers,Arch Capital Group Ltd. Common Stock,ACGL,1198078,16546510757.0,Arch Capital Group Ltd.,0.26444998,0.18341999,0.485,0.25724,0.036059998,buy,1.9,22.529,8.298,1.209,NMS,0.8565209999999999,7.017,1.856,30.663,2.04,10.188631,2021-03-31,https://logo.clearbit.com/archcapgroup.com
66,66,66,Finance,Property-Casualty Insurers,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,ACGLN,32992,0.0,Arch Capital Group Ltd.,0.26444998,0.18341999,0.485,0.25724,0.036059998,none,,22.529,8.298,1.209,NMS,0.8565209999999999,4.863,1.286,,2.04,,2021-03-31,https://logo.clearbit.com/archcapgroup.com
67,67,67,Finance,Property-Casualty Insurers,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,ACGLO,27571,0.0,Arch Capital Group Ltd.,0.26444998,0.18341999,0.485,0.25724,0.036059998,none,,22.529,8.298,1.209,NMS,0.8565209999999999,4.922,1.3019999999999998,30.663,2.04,,2021-03-31,https://logo.clearbit.com/archcapgroup.com
68,68,68,Finance,Property-Casualty Insurers,Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,ACGLP,22260,0.0,Arch Capital Group Ltd.,0.26444998,0.18341999,0.485,0.25724,0.036059998,none,,22.529,8.298,1.209,NMS,0.8565209999999999,4.794,1.268,30.663,2.04,,2021-03-31,https://logo.clearbit.com/archcapgroup.com
69,69,69,Basic Industries,Aluminum,Aluminum Corporation of China Limited American Depositary Shares,ACH,96799,10921746965.0,Aluminum Corporation of China Limited,0.08255000400000001,0.00843,0.325,0.043119997,0.026519999,none,,125.802,16.722,0.412,NYQ,2.396745,6.577000000000001,0.5429999999999999,81.25,30.257,-1830.0,2021-03-31,https://logo.clearbit.com/chalco.com.cn
70,70,70,Health Care,Hospital/Nursing Management,Acadia Healthcare Company Inc. Common Stock,ACHC,472304,5562543160.0,"Acadia Healthcare Company, Inc.",0.22143,-0.31155002,0.185,0.1766,0.04305,buy,2.2,67.811,2.065,1.233,NMS,1.552985,15.135,3.3510000000000004,25.899,0.084,23.875,2021-06-30,https://logo.clearbit.com/acadiahealthcare.com
71,71,71,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Achilles Therapeutics plc American Depositary Shares,ACHL,88385,261892504.0,Achilles Therapeutics plc,0.0,0.0,,0.0,-0.17127001,buy,1.8,8.902000000000003,36.431,11.175,NMS,,2.3080000000000003,,,,,2021-03-31,https://logo.clearbit.com/achillestx.com
72,72,72,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,Achieve Life Sciences Inc. Common Shares,ACHV,1391467,68796539.0,"Achieve Life Sciences, Inc.",0.0,0.0,,0.0,-0.48145,buy,1.6,0.419,4.808,8.432,NCM,1.277941,-1.149,,4.892,,-2.583072,2021-03-31,https://logo.clearbit.com/achievelifesciences.com
73,73,73,Consumer Services,Food Chains,Albertsons Companies Inc. Class A Common Stock,ACI,1705734,13926089779.0,"Albertsons Companies, Inc.",0.05183,0.01039,-0.065,0.028870001,0.04665,buy,2.3,438.802,4.685,0.418,NYQ,,7.7360000000000015,0.401,,-0.241,,2021-06-19,https://logo.clearbit.com/albertsonscompanies.com
74,74,74,Finance,Finance: Consumer Services,Atlas Crest Investment Corp. Class A Common Stock,ACIC,450372,624375000.0,Atlas Crest Investment Corp.,0.0,0.0,,0.0,,none,,1337.375,0.002,7.18,NYQ,,,,,,,2020-09-30,https://logo.clearbit.com/atlascrestcorp.com
75,75,75,Finance,Finance: Consumer Services,Atlas Crest Investment Corp. II Class A Common Stock,ACII,567,418226250.0,Atlas Crest Investment Corp. II,0.0,0.0,,0.0,,none,,,0.014,,NYQ,,,,,,,2021-03-31,https://logo.clearbit.com/acii.atlascrestcorp.com
76,76,76,Health Care,Major Pharmaceuticals,AC Immune SA Common Stock,ACIU,107594,482413623.0,AC Immune SA,0.0,0.0,,-35.92014,-0.19152,strong_buy,1.3,1.425,2.739,16.887999999999998,NGM,0.770127,-4.1610000000000005,146.014,2.869,,-79.99999,2021-06-30,https://logo.clearbit.com/acimmune.com
77,77,77,Technology,Computer Software: Prepackaged Software,ACI Worldwide Inc. Common Stock,ACIW,492919,3754802191.0,"ACI Worldwide, Inc.",0.18792999,0.06788999999999999,0.006,0.1408,0.03596,strong_buy,1.5,100.079,1.245,0.568,NMS,1.131791,19.71,3.704,10.139,-0.5379999999999999,26.25,2021-06-30,https://logo.clearbit.com/aciworldwide.com
78,78,78,Finance,Finance: Consumer Services,Ackrell SPAC Partners I Co. Subunits,ACKIT,101368,0.0,Ackrell SPAC Partners I Co.,0.0,0.0,,0.0,,none,,,,2.229,NCM,,,,,,,2020-12-31,https://logo.clearbit.com/ackrellspac.com
79,79,79,Finance,Finance: Consumer Services,Ackrell SPAC Partners I Co. Warrants,ACKIW,4456,0.0,Ackrell SPAC Partners I Co.,,,,,,,,,,,NCM,,,,,,,No info,
80,80,80,Technology,Industrial Machinery/Components,Axcelis Technologies Inc. Common Stock,ACLS,220305,1446064181.0,"Axcelis Technologies, Inc.",0.15127000000000002,0.11869001,0.198,0.14104,0.07235,buy,1.8,11.212,6.545,2.8110000000000004,NMS,1.414201,17.472,2.643,14.48,0.421,19.139536,2021-06-30,https://logo.clearbit.com/axcelis.com
81,81,81,Consumer Services,Military/Government/Technical,AECOM Common Stock,ACM,505070,9326693443.0,AECOM,0.05757,-0.00565,0.006,0.04354,0.02892,buy,1.6,102.667,6.386,0.943,NYQ,1.573964,14.775,0.851,19.574,,21.105093,2021-03-31,https://logo.clearbit.com/aecom.com
82,82,82,Technology,Industrial Machinery/Components,ACM Research Inc. Class A Common Stock,ACMR,249197,1616572607.0,"ACM Research, Inc.",0.14267999,0.12809,0.7959999999999999,0.13479000000000002,0.05035,buy,2.0,22.245,5.573,1.386,NGM,0.742202,77.627,11.076,7.802,2.208,42.765873,2021-03-31,https://logo.clearbit.com/acmrcsh.com
83,83,83,Technology,EDP Services,Accenture plc Class A Ordinary Shares (Ireland),ACN,970295,205111494267.0,Accenture plc,0.16749,0.12051,0.207,0.15032,0.116730005,buy,2.1,17.331,15.791,1.305,NYQ,1.107584,25.825,4.3260000000000005,28.802,0.262,36.328358,2021-05-31,https://logo.clearbit.com/accenture.com
84,84,84,Finance,Major Banks,ACNB Corporation Common Stock,ACNB,7166,250651542.0,ACNB Corporation,0.0,0.31951,0.185,0.4245100000000001,0.01164,none,,,67.979,,NCM,0.102205,,-2.752,29.56,0.468,,2021-06-30,https://logo.clearbit.com/acnb.com
