,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a,Setor,Subsetor,Nome,Ticker,Data_ultimo_balanco
31,AMIL3,32.2,-73.28,7.7,1.129,"0,00%",2.003,-16.95,136.58,-5.43,138.61,50.13,"0,83%","-1,53%",0.75,"2,22%","-10,51%",0.0,1532980000.0,1.24,"28,47%",Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,AMIL,AMIL3.SA,31/12/2012
32,BRTP3,35.71,-67.26,2.45,1.168,"0,00%",0.684,8.98,6.03,-2.4,7.55,7.55,"19,37%","-2,96%",1.29,"13,41%","-3,64%",0.0,5302340000.0,0.91,"3,66%",Not found,Not found,BRASIL TELECOM PARTICIPAÇÕES S.A.,BRTP3.SA,30/06/2009
33,IDVL11,140.0,-66.0,60.56,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","-91,76%",0.0,237683000.0,0.0,"0,00%",Intermediários Financeiros,Bancos,Indusval,IDVL11.SA,30/09/2020
34,HBSA3,4.77,-64.05,2.44,2.436,"0,00%",0.615,7.0,12.59,-1.07,25.16,12.51,"19,36%","-3,80%",2.02,"5,47%","-3,81%",23287200.0,1484430000.0,2.8,"48,13%",Transporte,Transporte Hidroviário,HIDROVIAS,HBSA3.SA,30/06/2021
35,ARTR3,10.01,-63.38,0.91,1.512,"0,00%",0.337,-13.46,11.56,-0.63,27.18,9.22,"13,07%","-2,38%",0.79,"3,20%","-1,43%",0.0,6336980000.0,1.44,"-1,82%",Transporte,Exploração de Rodovias,ARTERIS,ARTR3.SA,30/06/2021
36,OMGE3,34.68,-63.31,1.94,4.616,"0,00%",0.664,13.94,14.66,-1.28,25.98,14.98,"31,48%","-7,89%",1.75,"4,83%","-3,06%",23775700.0,3508890000.0,1.65,"45,49%",Energia Elétrica,Energia Elétrica,OMEGA GER,OMGE3.SA,30/06/2021
37,CVCB3,19.83,-55.97,25.86,7.88,"0,00%",0.844,-13.24,-6.96,-2.2,-7.89,-12.11,"-113,15%","-15,82%",0.9,"-15,73%","-46,20%",150900000.0,154293000.0,7.69,"-15,65%",Viagens e Lazer,Viagens e Turismo,CVC BRASIL,CVCB3.SA,30/06/2021
38,PEFX3,19.0,-52.04,1.68,0.477,"0,00%",0.597,20.34,5.75,-3.18,6.59,0.0,"8,30%","-0,92%",1.07,"11,77%","-3,24%",0.0,396955000.0,0.31,"4,36%",Químicos,Petroquímicos,PETROFLEX INDÚSTRIA E COMÉRCIO S.A,PEFX3.SA,30/06/2008
39,PEFX5,19.0,-52.04,1.68,0.477,"0,00%",0.597,20.34,5.75,-3.18,6.59,0.0,"8,30%","-0,92%",1.07,"11,77%","-3,24%",0.0,396955000.0,0.31,"4,36%",Químicos,Petroquímicos,PETROFLEX INDÚSTRIA E COMÉRCIO S.A,PEFX5.SA,30/06/2008
40,TOYB4,2.5,-47.96,-5.43,5.256,"0,00%",4.405,-6.47,-9.04,-3.83,-9.15,-9.67,"-58,16%","-10,96%",0.49,"-59,36%","11,31%",0.0,-13852000.0,-0.07,"-26,99%",Not found,Not found,TEC TOY,TOYB4.SA,31/03/2019
41,IMBI3,5.01,-46.42,2.81,2659.02,"0,00%",0.518,-2.21,-97.12,-0.37,-104.72,-107.45,"-2.737,88%","-13.821,20%",0.05,"-0,54%","-6,05%",0.0,62544000.0,0.22,"-57,16%",Transporte,Serviços de Apoio e Armazenagem,COMPANHIA DOCAS DE IMBITUBA,IMBI3.SA,30/06/2015
42,CLAN4,3.0,-44.92,0.47,15.151,"0,00%",0.406,-15.5,-82.56,-6.36,-97.43,22.68,"-18,35%","-33,73%",0.73,"-0,50%","-1,05%",0.0,1012240000.0,0.08,"-63,96%",Not found,Not found,CLARION,CLAN4.SA,31/12/2012
43,ELMD3,18.25,-44.51,3.41,9.138,"0,00%",1.567,5.5,-43.66,-21.92,-43.44,206.94,"-20,93%","-20,81%",2.55,"-6,75%","-7,66%",4569130.0,738743000.0,0.91,"0,00%",Mídia,Publicidade e Propaganda,ELETROMIDIA,ELMD3.SA,30/06/2021
44,TOYB3,2.29,-43.94,-4.97,4.815,"0,00%",4.035,-5.93,-8.28,-3.5,-8.39,-8.87,"-58,16%","-10,96%",0.49,"-59,36%","11,31%",0.0,-13852000.0,-0.07,"-26,99%",Not found,Not found,TEC TOY,TOYB3.SA,31/03/2019
45,EBTP3,10.21,-43.56,1.17,0.548,"0,00%",0.353,-502.47,6.42,-0.73,8.46,2.85,"8,53%","-1,03%",0.99,"6,03%","-2,68%",0.0,10782200000.0,0.39,"22,10%",Not found,Not found,EMBRATEL PARTICIPAÇÕES SA,EBTP3.SA,30/09/2014
46,EBTP4,10.0,-42.66,1.14,0.537,"0,00%",0.346,-492.13,6.29,-0.71,8.33,2.81,"8,53%","-1,03%",0.99,"6,03%","-2,68%",0.0,10782200000.0,0.39,"22,10%",Not found,Not found,EMBRATEL PARTICIPAÇÕES SA,EBTP4.SA,30/09/2014
47,FBRA4,34.58,-39.57,1.66,0.457,"0,00%",0.738,18.94,7.4,-4.43,10.62,10.62,"6,18%","-1,15%",1.11,"11,94%","-4,20%",0.0,213406000.0,0.77,"12,48%",Not found,Not found,FERTIBRÁS S/A,FBRA4.SA,30/09/2006
48,BRTP4,20.81,-39.19,1.43,0.681,"0,00%",0.399,5.23,3.51,-1.4,5.03,5.03,"19,37%","-2,96%",1.29,"13,41%","-3,64%",0.0,5302340000.0,0.91,"3,66%",Not found,Not found,BRASIL TELECOM PARTICIPAÇÕES S.A.,BRTP4.SA,30/06/2009
49,TELB3,59.94,-36.95,2.73,14.894,"0,00%",1.001,3.79,-12.73,-3.18,-10.54,-44.74,"-117,03%","-40,30%",5.84,"-10,35%","-7,39%",95662.9,1490290000.0,0.16,"69,48%",Telecomunicações,Telecomunicações,TELEBRAS,TELB3.SA,30/06/2021
50,ITEC3,40.1,-35.12,22.04,2611.69,"0,00%",9.216,25.42,-26.0,-68.91,-24.8,-29.56,"-10.044,70%","-7.435,88%",5.23,"-63,06%","-62,76%",0.0,20143000.0,0.0,"-74,79%",Computadores e Equipamentos,Computadores e Equipamentos,ITAUTEC PHILCO SA - GRUPO ITAUTEC PHILCO,ITEC3.SA,30/06/2019
51,IMBI4,3.5,-32.43,1.96,1857.6,"0,00%",0.362,-1.54,-67.85,-0.26,-75.44,-77.41,"-2.737,88%","-13.821,20%",0.05,"-0,54%","-6,05%",0.0,62544000.0,0.22,"-57,16%",Transporte,Serviços de Apoio e Armazenagem,COMPANHIA DOCAS DE IMBITUBA,IMBI4.SA,30/06/2015
52,PRTX3,2.77,-32.27,-145.32,297.651,"0,00%",1.4,-2.57,-97.11,-1.43,-128.99,37.19,"-306,50%","-922,47%",0.05,"-1,50%","450,37%",0.0,-18917000.0,-49.85,"307,96%",Transporte,Serviços de Apoio e Armazenagem,PORTX,PRTX3.SA,30/06/2012
53,DFVA3,9.9,-31.38,60.69,4.327,"0,00%",5.365,29.1,-55.91,-31.47,-58.28,-58.28,"-7,74%","-13,79%",1.33,"-10,35%","-193,42%",0.0,1170000.0,2.84,"3,39%",Not found,Not found,D F VASCONCELLOS S/A O.M.A.P.,DFVA3.SA,31/12/2006
54,ASTA4,25.83,-30.79,1.0,0.652,"0,00%",0.446,2.57,19.9,-3.3,33.2,33.2,"3,28%","-2,12%",1.71,"2,52%","-3,25%",0.0,515672000.0,0.85,"-4,73%",Not found,Not found,SANTISTA TÊXTIL S.A.,ASTA4.SA,30/09/2007
55,VGOR4,5.87,-29.58,7.18,1.229,"0,00%",1.468,113.97,27.32,-3.22,34.09,34.09,"4,50%","-4,59%",1.04,"6,00%","-24,29%",0.0,135178000.0,1.89,"4,77%",Not found,Not found,VIGOR,VGOR4.SA,30/09/2008
56,CRBM3,90.0,-28.95,3.26,1.498,"0,00%",1.172,2.98,-15.45,16.9,-14.17,-14.17,"-9,70%","-5,18%",2.24,"-12,71%","-11,28%",0.0,827347000.0,0.45,"-1,58%",Not found,Not found,CARAÍBA METAIS S.A,CRBM3.SA,30/09/2009
57,HBRE3,12.5,-28.4,0.73,16.94,"0,00%",0.382,3.67,19.71,-1.84,25.61,25.38,"85,93%","-64,37%",2.25,"2,37%","-2,56%",1077060.0,1772950000.0,0.55,"0,00%",Exploração de Imóveis,Exploração de Imóveis,HBR REALTY,HBRE3.SA,30/06/2021
58,OPCT3,4.1,-27.16,0.93,1.232,"0,00%",0.409,2.3,311.25,-1.9,460.39,10.69,"0,40%","-1,76%",2.06,"0,18%","-3,43%",9727040.0,880290000.0,0.98,"0,00%","Petróleo, Gás e Biocombustíveis",Equipamentos e Serviços,OCEANPACT,OPCT3.SA,30/06/2021
59,ORVR3,23.74,-27.0,4.51,4.453,"0,00%",1.754,8.57,31.17,-12.17,31.81,17.27,"14,29%","-8,24%",1.81,"8,14%","-16,69%",10998200.0,376508000.0,0.8,"0,00%",Água e Saneamento,Água e Saneamento,ORIZON,ORVR3.SA,30/06/2021
60,ECPR4,85.8,-25.76,1.13,0.0,"0,00%",0.597,-1393.33,-83.26,-1.28,-83.07,-83.2,"0,00%","0,00%",0.93,"-0,72%","-4,39%",2131.2,144245000.0,0.0,"0,00%","Tecidos, Vestuário e Calçados",Fios e Tecidos,ENCORPAR,ECPR4.SA,30/06/2021
61,BAHI4,86.0,-25.42,7.33,4.817,"0,00%",2.034,-7.64,1564.41,-3.44,1588.55,180.15,"0,31%","-18,96%",0.32,"0,14%","-28,85%",0.0,152312000.0,0.31,"90,68%",Diversos,Serviços Educacionais,BAHEMA,BAHI4.SA,30/06/2021
62,DFVA4,8.0,-25.35,49.04,3.497,"0,00%",4.335,23.51,-45.18,-25.43,-47.55,-47.55,"-7,74%","-13,79%",1.33,"-10,35%","-193,42%",0.0,1170000.0,2.84,"3,39%",Not found,Not found,D F VASCONCELLOS S/A O.M.A.P.,DFVA4.SA,31/12/2006
63,ECPR3,84.23,-25.29,1.11,0.0,"0,00%",0.586,-1367.84,-81.73,-1.26,-81.55,-81.67,"0,00%","0,00%",0.93,"-0,72%","-4,39%",1187.48,144245000.0,0.0,"0,00%","Tecidos, Vestuário e Calçados",Fios e Tecidos,ENCORPAR,ECPR3.SA,30/06/2021
64,SMFT3,28.1,-24.78,8.0,12.661,"0,00%",2.09,-476.63,-39.44,-3.6,-43.76,54.46,"-32,10%","-51,32%",0.97,"-6,08%","-32,29%",50151300.0,2058530000.0,1.28,"13,91%",Viagens e Lazer,Atividades Esportivas,SMART FIT,SMFT3.SA,30/06/2021
65,TAMM4,52.73,-22.74,3.8,0.626,"0,00%",0.524,-31.11,9.77,-0.96,18.01,9.66,"6,41%","-2,21%",0.95,"6,36%","-16,70%",0.0,2174310000.0,4.08,"9,79%",Transporte,Transporte Aéreo,TAM,TAMM4.SA,31/03/2012
66,TAMM3,52.6,-22.68,3.79,0.625,"0,00%",0.523,-31.04,9.74,-0.96,17.98,9.65,"6,41%","-2,21%",0.95,"6,36%","-16,70%",0.0,2174310000.0,4.08,"9,79%",Transporte,Transporte Aéreo,TAM,TAMM3.SA,31/03/2012
67,DTCY3,9.13,-21.56,40.09,9.747,"0,00%",5.164,-39.09,-34.97,-9.81,-35.47,135.08,"-27,87%","-45,21%",0.72,"-15,40%","-185,96%",54615.4,2535000.0,0.79,"-7,62%",Serviços Diversos,Serviços Diversos,DTCOM,DTCY3.SA,30/06/2021
68,EMBR3,19.87,-20.78,1.06,0.578,"0,00%",0.284,0.96,10.62,-1.93,17.43,9.46,"5,44%","-2,77%",2.08,"3,75%","-5,10%",190036000.0,13877400000.0,1.56,"-0,17%",Material de Transporte,Material Aeronáutico e de Defesa,EMBRAER,EMBR3.SA,30/06/2021
69,ECOR3,9.92,-20.09,3.51,1.635,"0,00%",0.484,204.65,3.79,-0.86,7.07,5.3,"43,12%","-8,13%",1.01,"16,88%","-17,48%",60665700.0,1966340000.0,4.72,"9,85%",Transporte,Exploração de Rodovias,ECORODOVIAS,ECOR3.SA,30/06/2021
70,MBLY3,11.94,-19.78,1.87,1.798,"0,00%",1.389,2.16,-25.57,2.45,-18.45,-45.12,"-7,03%","-9,09%",4.62,"-12,94%","-9,44%",3924260.0,680840000.0,0.12,"0,00%",Programas e Serviços,Programas e Serviços,MOBLY,MBLY3.SA,30/06/2021
71,CRBM7,60.0,-19.3,2.18,0.999,"0,00%",0.782,1.99,-10.3,11.26,-9.02,-9.02,"-9,70%","-5,18%",2.24,"-12,71%","-11,28%",0.0,827347000.0,0.45,"-1,58%",Not found,Not found,CARAÍBA METAIS S.AC,CRBM7.SA,30/09/2009
72,WMBY3,25.39,-19.3,2.87,0.836,"0,00%",0.182,1.2,8.62,-1.5,25.02,25.02,"9,70%","-7,05%",1.44,"2,39%","-14,86%",0.0,212439000.0,6.51,"-14,48%","Tecidos, Vestuário e Calçados",Fios e Tecidos,WEMBLEY SOCIEDADE ANÔNIMA,WMBY3.SA,30/06/2016
73,BAHI5,65.0,-19.22,5.54,3.641,"0,00%",1.538,-5.77,1182.4,-2.6,1206.54,136.83,"0,31%","-18,96%",0.32,"0,14%","-28,85%",0.0,152312000.0,0.31,"90,68%",Diversos,Serviços Educacionais,BAHEMA,BAHI5.SA,30/06/2021
74,TDBH4,0.66,-18.63,1.28,0.906,"0,00%",0.811,-6.15,8.73,-5.66,10.23,10.23,"10,38%","-4,86%",0.63,"10,48%","-6,85%",0.0,554115000.0,0.27,"35,74%",Not found,Not found,TELEFÔNICA EMPRESAS S.A,TDBH4.SA,30/06/2006
75,TANC4,43.0,-18.54,3.1,0.511,"0,00%",0.428,-25.37,7.96,-0.78,16.2,8.69,"6,41%","-2,21%",0.95,"6,36%","-16,70%",0.0,2174310000.0,4.08,"9,79%",Transporte,Transporte Aéreo,TAM,TANC4.SA,31/03/2012
76,CCIM3,5.52,-16.44,0.94,0.498,"0,00%",0.198,0.53,8.96,-1.09,25.04,38.84,"5,55%","-3,03%",2.58,"2,38%","-5,75%",0.0,660347000.0,1.93,"29,98%",Construção Civil,Incorporações,CC DES IMOB,CCIM3.SA,30/06/2012
77,TDBH3,0.56,-15.81,1.08,0.769,"0,00%",0.688,-5.22,7.4,-4.8,8.91,8.91,"10,38%","-4,86%",0.63,"10,48%","-6,85%",0.0,554115000.0,0.27,"35,74%",Not found,Not found,TELEFÔNICA EMPRESAS S.A,TDBH3.SA,30/06/2006
78,TELB4,24.75,-15.26,1.13,6.15,"0,00%",0.413,1.57,-5.25,-1.31,-3.07,-13.03,"-117,03%","-40,30%",5.84,"-10,35%","-7,39%",148900.0,1490290000.0,0.16,"69,48%",Telecomunicações,Telecomunicações,TELEBRAS,TELB4.SA,30/06/2021
79,FRIO3,66.65,-15.04,-2.92,0.152,"0,00%",0.148,12.5,3.71,-0.52,14.05,7.56,"4,09%","0,25%",1.02,"7,85%","19,40%",4322.34,-93815000.0,-12.59,"17,14%",Máquinas e Equipamentos,Máq. e Equip. Industriais,Metalfrio,FRIO3.SA,30/06/2021
80,GBIO33,10.4,-14.97,1.32,1.518,"0,00%",0.791,7.57,13.53,17.58,16.06,16.06,"11,21%","-10,14%",1.31,"7,12%","-8,83%",0.0,838439000.0,0.31,"-8,99%",Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,BIOTOSCANA,GBIO33.SA,30/06/2020
81,TXRX3,30.0,-14.01,-0.41,0.994,"0,00%",0.623,-0.48,5.52,-0.3,16.22,13.16,"18,01%","-7,09%",0.24,"16,98%","2,91%",12642.4,-313786000.0,-0.79,"7,36%","Tecidos, Vestuário e Calçados",Fios e Tecidos,RENAUX,TXRX3.SA,30/06/2021
82,MEAL3,3.79,-13.75,0.93,0.773,"0,00%",0.399,3.32,-10.37,-1.3,-11.84,17.71,"-7,46%","-5,62%",1.82,"-5,17%","-6,79%",17311400.0,1162710000.0,0.58,"-2,37%",Hoteis e Restaurantes,Restaurante e Similares,IMC S/A,MEAL3.SA,30/06/2021
83,LECO4,1.46,-13.48,2.0,0.637,"0,00%",0.924,-16.84,-29.69,-3.16,-32.69,-32.69,"-2,14%","-4,72%",0.82,"-3,48%","-14,82%",0.0,105928000.0,0.2,"3,58%",Not found,Not found,LECO,LECO4.SA,30/09/2008
84,SEDU3,23.8,-13.36,15.0,3.443,"0,00%",1.531,57.9,-22.47,-2.67,-28.68,-69.64,"-15,33%","-25,73%",1.09,"-8,15%","-112,29%",0.0,415869000.0,4.67,"10,87%",Not found,Not found,SOMOS EDUCA,SEDU3.SA,31/03/2019
85,TESA3,48.0,-13.3,1.62,1.007,"0,00%",0.523,-11.1,9.41,-1.35,15.25,10.09,"10,71%","-7,58%",0.86,"6,42%","-12,18%",1029200.0,858223000.0,1.04,"15,48%",Agropecuária,Agricultura,TERRA SANTA,TESA3.SA,30/06/2021
86,BIOM3,13.0,-12.59,5.55,10.232,"0,00%",2.242,8.91,-16.01,-10.8,-17.83,-17.96,"-63,92%","-81,30%",2.84,"-18,23%","-44,13%",156380.0,158625000.0,1.13,"730,45%",Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,BIOMM SA,BIOM3.SA,30/06/2021
87,IGUA3,8.15,-12.52,-1.44,0.568,"0,00%",0.564,-0.65,8.22,-0.6,14.8,5.8,"6,91%","-4,53%",0.34,"7,61%","11,52%",0.0,-164188000.0,-1.33,"-7,41%",Not found,Not found,CIA. IGUAÇU DE CAFÉ SOLÚVEL,IGUA3.SA,30/06/2014
88,FGUI3,12.0,-12.41,-2.15,16.009,"0,00%",25.203,-2.2,-57.76,-2.05,-70.17,-70.17,"-27,72%","-129,00%",0.04,"-60,74%","17,32%",0.0,-222024000.0,-0.46,"2,13%","Tecidos, Vestuário e Calçados",Fios e Tecidos,FERREIRA GUIMARAES,FGUI3.SA,30/06/2006
89,IGUA6,8.07,-12.4,-1.43,0.562,"0,00%",0.558,-0.64,8.14,-0.59,14.72,5.77,"6,91%","-4,53%",0.34,"7,61%","11,52%",0.0,-164188000.0,-1.33,"-7,41%",Not found,Not found,CIA. IGUAÇU DE CAFÉ SOLÚVEL,IGUA6.SA,30/06/2014
